Source;Target;Type;id;label;timeset;weight
29;52;Directed;1476;;;1.0
30;1;Directed;1477;;;347.0
30;2;Directed;1478;;;2979.0
30;3;Directed;1479;;;787.0
30;4;Directed;1480;;;327.0
30;5;Directed;1481;;;1233.0
30;6;Directed;1482;;;1202.0
30;7;Directed;1483;;;875.0
30;8;Directed;1484;;;2203.0
30;9;Directed;1485;;;4198.0
30;10;Directed;1486;;;806.0
30;11;Directed;1487;;;495.0
30;12;Directed;1488;;;1073.0
30;13;Directed;1489;;;1296.0
30;14;Directed;1490;;;737.0
30;15;Directed;1491;;;435.0
30;16;Directed;1492;;;1137.0
30;17;Directed;1493;;;503.0
30;18;Directed;1494;;;1075.0
30;19;Directed;1495;;;648.0
30;20;Directed;1496;;;597.0
30;21;Directed;1497;;;345.0
30;22;Directed;1498;;;856.0
30;23;Directed;1499;;;3658.0
30;24;Directed;1500;;;386.0
30;25;Directed;1501;;;215.0
30;26;Directed;1502;;;460.0
30;27;Directed;1503;;;675.0
30;28;Directed;1504;;;242.0
30;29;Directed;1505;;;310.0
30;31;Directed;1506;;;2428.0
30;32;Directed;1507;;;1496.0
30;33;Directed;1508;;;583.0
30;34;Directed;1509;;;311.0
30;35;Directed;1510;;;176.0
30;36;Directed;1511;;;1430.0
30;37;Directed;1512;;;773.0
30;38;Directed;1513;;;367.0
30;39;Directed;1514;;;653.0
30;40;Directed;1515;;;1076.0
30;41;Directed;1516;;;861.0
30;42;Directed;1517;;;1388.0
30;43;Directed;1518;;;185.0
30;44;Directed;1519;;;375.0
30;45;Directed;1520;;;79.0
30;46;Directed;1521;;;8023.0
30;47;Directed;1522;;;2436.0
30;48;Directed;1523;;;744.0
30;49;Directed;1524;;;337.0
30;50;Directed;1525;;;963.0
30;51;Directed;1526;;;156.0
30;52;Directed;1527;;;138.0
31;1;Directed;1528;;;34.0
31;2;Directed;1529;;;431.0
31;3;Directed;1530;;;655.0
31;4;Directed;1531;;;55.0
31;5;Directed;1532;;;126.0
31;6;Directed;1533;;;22.0
31;7;Directed;1534;;;139.0
31;8;Directed;1535;;;581.0
31;9;Directed;1536;;;1128.0
31;10;Directed;1537;;;162.0
31;11;Directed;1538;;;50.0
31;12;Directed;1539;;;45.0
31;13;Directed;1540;;;1408.0
31;14;Directed;1541;;;60.0
31;15;Directed;1542;;;52.0
31;16;Directed;1543;;;98.0
31;17;Directed;1544;;;706.0
31;18;Directed;1545;;;81.0
31;19;Directed;1546;;;25.0
31;20;Directed;1547;;;115.0
31;21;Directed;1548;;;189.0
31;22;Directed;1549;;;1134.0
31;23;Directed;1550;;;83.0
31;24;Directed;1551;;;175.0
31;25;Directed;1552;;;27.0
31;26;Directed;1553;;;336.0
31;27;Directed;1554;;;64.0
31;28;Directed;1555;;;68.0
31;29;Directed;1556;;;30.0
31;30;Directed;1557;;;2912.0
31;32;Directed;1558;;;336.0
31;33;Directed;1559;;;154.0
31;34;Directed;1560;;;25.0
31;35;Directed;1561;;;15.0
31;36;Directed;1562;;;424.0
31;37;Directed;1563;;;79.0
31;38;Directed;1564;;;52.0
31;39;Directed;1565;;;60.0
31;40;Directed;1566;;;278.0
31;41;Directed;1567;;;23.0
31;42;Directed;1568;;;1032.0
31;43;Directed;1569;;;15.0
31;44;Directed;1570;;;106.0
31;45;Directed;1571;;;17.0
31;46;Directed;1572;;;129.0
31;47;Directed;1573;;;348.0
31;48;Directed;1574;;;77.0
